married,race,loan_decision,occupancy,loan_amount,applicant_income,num_units,num_dependants,self_employed,monthly_income,purchase_price,liquid_assets,mortage_payment_history,consumer_credit_history,filed_bankruptcy,property_type,gender
false,white,approve,1,90,40,1,0,True,3333,145.0,94.0,2,1,False,2,male
false,white,approve,1,115,52,1,0,False,4333,165.0,207.0,2,1,False,2,male
true,white,approve,1,191,115,1,0,True,9560,410.0,76.0,1,6,False,2,male
false,white,reject,1,123,61,1,0,False,2400,136.0,5.0,2,2,True,1,male
true,white,approve,1,122,61,1,0,False,2799,138.0,25.0,2,2,False,2,male
false,white,approve,1,68,35,1,0,False,2887,135.0,144.0,2,1,False,2,male
true,hispan,approve,1,128,72,1,2,False,2202,160.0,62.0,3,6,True,2,male
false,white,approve,1,134,57,1,0,False,2773,154.0,32.0,2,1,False,2,male
true,white,approve,1,72,35,1,2,False,2925,96.0,1.0,1,1,False,1,female
true,white,approve,1,110,63,1,2,False,4226,141.0,13.1,2,5,False,2,male
true,white,approve,1,138,71,1,0,False,2988,153.0,20.73,2,1,False,2,female
true,hispan,approve,1,248,95,1,2,False,5399,295.0,57.0,2,1,False,1,male
true,white,approve,1,99,64,1,0,False,4194,110.0,23.4,2,5,False,2,male
true,white,approve,1,187,84,1,1,False,5850,268.0,149.0,2,1,False,2,male
false,white,approve,1,90,27,1,0,False,3091,145.0,72.0,2,1,False,2,male
false,white,approve,2,130,27,2,0,False,3125,155.0,25.0,2,1,False,3,male
false,white,approve,1,2,35,1,0,False,2963,95.0,21.0,2,1,False,1,male
false,black,approve,1,132,59,1,1,False,4020,149.0,23.0,2,1,False,2,female
true,black,approve,1,162,53,2,1,False,2185,170.0,19.0,2,1,False,3,male
false,white,reject,1,40,50,1,4,False,4166,50.0,17.0,3,3,True,2,male
true,white,approve,1,150,66,1,0,False,3000,167.0,38.0,2,1,False,2,male
false,white,approve,1,94,43,1,0,False,2374,99.0,8.0,2,2,False,2,male
false,white,reject,1,35,17,1,0,False,1442,35.0,1000000.0,2,1,False,2,male
false,black,approve,1,120,70,1,2,False,3750,150.0,38.0,2,1,False,2,female
true,white,approve,1,50,42,1,0,False,3517,165.0,80.5,2,2,False,2,male
false,white,approve,1,180,157,1,0,False,4442,225.0,72.0,1,2,False,2,male
true,black,approve,1,732,288,1,1,False,23917,975.0,1213.0,1,1,False,2,male
true,white,approve,1,201,120,1,1,False,4166,223.0,27.0,1,2,False,2,male
true,white,approve,1,183,100,1,0,False,3734,192.0,23.0,2,5,False,2,female
true,white,approve,1,170,71,1,1,False,3500,231.0,101.0,2,3,False,2,male
true,white,reject,1,166,146,1,2,True,12173,208.0,55.0,2,4,False,2,male
false,white,reject,1,74,38,1,0,False,3167,81.0,15.0,2,1,False,1,male
false,black,reject,1,124,56,1,0,False,4666,162.0,43.0,2,1,False,1,female
false,white,approve,1,106,56,1,1,True,4692,132.0,33.61,2,1,False,2,male
true,black,approve,1,114,70,1,0,False,3500,131.0,35.0,2,1,False,2,male
false,white,approve,1,131,68,1,1,False,5667,145.0,38.0,2,2,False,1,male
false,white,reject,1,320,0,1,3,False,12500,630.0,421.2,1,3,True,2,male
true,hispan,approve,1,192,105,1,2,False,8750,225.0,17.0,1,1,False,2,female
false,white,approve,1,101,52,1,0,False,2493,107.0,17.68,2,1,False,1,male
false,white,approve,1,68,36,1,0,False,3045,85.0,24.0,2,2,False,1,female
false,white,approve,1,155,65,2,0,False,2541,172.0,28.0,2,1,False,3,female
true,white,approve,1,200,90,1,2,False,4583,300.0,122.0,2,1,False,1,male
true,white,approve,1,115,52,1,0,False,2275,137.0,21.0,2,1,False,2,male
true,black,approve,1,126,49,1,3,False,3786,171.0,10.0,2,6,True,2,male
true,white,approve,1,300,206,1,0,False,9226,615.0,328.0,1,1,False,2,male
true,white,reject,1,100,38,,0,False,1828,122.0,16.0,2,6,False,2,male
false,white,approve,1,235,99,1,0,False,8283,255.0,0.9,1,1,False,2,male
true,white,approve,1,65,32,1,0,False,2766,72.4,15.5,2,1,False,2,male
true,hispan,approve,1,144,62,3,0,False,3667,160.0,19.0,2,1,False,3,female
false,white,approve,1,135,63,1,0,False,5290,180.0,58.0,2,1,False,2,female
false,white,approve,2,184,50,1,0,False,4166,230.0,50.0,1,1,False,1,male
false,white,approve,1,100,57,1,0,False,1300,295.0,255.0,2,2,False,2,male
false,white,approve,1,110,65,1,0,False,3748,167.0,71.0,2,1,False,2,male
false,hispan,approve,1,149,58,1,0,False,4800,165.0,50.1,2,1,False,1,female
true,white,approve,1,450,265,1,0,False,22108,650.0,365.0,1,1,False,2,male
false,black,reject,1,80,43,1,0,False,3600,100.0,15.5,2,4,False,1,male
false,white,approve,1,47,36,1,0,False,1800,67.5,5.152,2,2,False,1,male
true,hispan,reject,1,48,42,1,1,False,1888,62.9,34.0,2,2,False,2,male
true,white,approve,1,160,119,1,2,True,7400,300.0,198.0,2,1,False,2,male
true,white,approve,1,75,24,1,0,False,2400,100.0,56.0,2,1,False,2,male
false,white,approve,1,28,25,1,4,False,2083,100.0,54.0,2,2,False,1,female
false,white,approve,1,187,62,1,0,True,5142,280.0,54.45,4,3,False,2,male
true,hispan,approve,1,180,40,2,4,True,8675,200.5,37.0,2,1,False,3,male
true,black,approve,1,100,120,1,1,False,3781,100.0,100.0,1,1,False,2,male
false,white,approve,1,101,48,1,0,False,3909,125.0,20.0,2,1,False,1,
true,white,approve,1,132,72,1,1,False,3293,165.0,45.0,2,5,True,2,male
true,white,approve,1,160,68,2,2,False,5661,240.0,80.0,1,1,False,3,male
true,white,approve,1,134,75,1,0,False,3941,150.0,21.0,1,1,False,1,male
true,white,approve,1,350,259,1,2,True,21666,737.0,1100.0,1,1,False,2,female
true,white,approve,1,85,60,1,2,False,3247,84.0,269.7,1,1,False,2,male
true,white,approve,1,91,63,1,0,False,2816,114.0,19.0,2,2,False,2,male
false,white,approve,1,125,51,1,0,False,3765,195.0,80.0,1,1,False,2,female
true,white,approve,1,96,64,1,0,True,4695,120.0,10.4,1,3,False,2,male
false,white,approve,1,88,41,1,0,False,3410,110.0,37.0,2,1,False,1,female
true,white,approve,2,44,68,1,1,False,5649,55.0,3.0,1,1,False,2,male
false,white,approve,1,100,77,1,0,False,2791,126.0,38.0,1,1,False,2,male
false,white,approve,1,56,104,1,0,False,8666,75.0,38.43,2,1,False,1,male
true,white,approve,1,182,98,2,2,False,3015,202.0,23.6,2,5,False,3,male
true,white,approve,1,86,51,1,0,False,2121,115.0,31.0,2,2,False,2,male
true,white,approve,1,129,90,1,3,False,4279,233.0,12.0,1,1,False,2,male
true,white,approve,1,144,72,1,0,False,5821,156.0,36.0,2,2,False,2,male
true,white,approve,1,105,71,1,0,False,2013,132.0,8.0,2,1,False,2,male
true,white,reject,1,120,73,2,0,False,2645,133.0,5.0,2,6,True,3,female
true,white,approve,2,137,253,1,0,True,21117,171.0,429.0,1,1,False,1,male
true,white,approve,1,160,75,1,2,False,5580,302.0,63.0,1,2,False,2,male
true,white,reject,1,290,117,1,0,False,5400,405.0,246.0,1,2,False,2,male
false,white,approve,2,70,30,2,0,True,2656,90.0,0.0,1,1,False,3,male
false,white,approve,1,144,64,1,0,False,4000,185.0,56.0,2,1,False,2,female
false,white,approve,1,199,94,3,0,False,7865,246.0,206.0,2,6,False,3,female
false,white,reject,1,148,288,1,0,False,0,185.0,151.0,3,6,False,2,male
false,white,approve,1,237,99,1,0,False,8333,296.0,72.0,2,1,False,1,male
true,white,approve,1,100,43,1,0,False,1928,182.0,107.0,2,1,False,2,female
false,white,approve,1,90,53,1,1,False,2430,100.0,7.0,2,5,True,2,male
false,black,approve,1,120,52,2,0,False,3086,150.0,57.0,2,1,False,3,female
true,white,approve,1,100,49,1,1,False,4050,190.0,155.0,1,2,False,2,male
false,white,approve,1,53,33,1,0,False,2622,92.5,60.7,1,6,False,1,female
false,white,approve,1,48,27,1,1,False,2250,60.0,83.0,2,1,False,1,female
true,white,approve,1,49,45,1,0,False,3200,49.0,18.25,1,2,False,2,male
true,white,approve,1,138,60,1,2,True,5250,173.0,6.0,1,1,False,2,male
true,white,approve,1,140,67,1,2,False,4363,85.0,61.5,1,1,False,2,male
false,white,approve,1,112,51,1,0,False,4230,140.0,52.0,2,1,False,2,female
false,white,approve,1,70,25,1,0,False,2067,140.0,92.6,2,1,False,2,female
true,black,approve,1,86,36,1,1,False,3168,107.0,12.0,2,4,False,1,female
true,hispan,approve,1,53,48,1,0,False,2505,71.0,29.16,2,1,False,1,male
true,white,approve,1,140,75,1,0,False,4107,214.0,133.0,1,1,False,1,male
true,white,approve,1,275,135,1,0,False,7500,306.0,48.0,2,1,False,2,male
true,white,approve,1,300,115,1,3,False,8600,575.0,81.0,1,1,False,2,male
true,white,approve,1,140,77,1,1,False,3782,140.0,32.0,1,1,False,2,female
true,white,approve,1,112,49,1,2,False,3729,117.5,17.0,2,6,True,2,male
true,black,approve,1,137,122,1,0,False,4980,153.0,49.0,2,6,False,1,male
true,black,reject,1,57,56,1,0,False,3772,85.0,1.5,3,6,False,2,male
true,white,approve,1,230,128,1,4,False,9233,290.0,111.2,1,1,False,2,male
false,white,approve,1,125,64,2,0,False,2942,225.0,449.0,2,1,False,3,male
false,white,approve,1,75,33,1,0,False,2478,210.0,58.49,1,2,False,2,female
true,white,approve,1,187,157,1,0,False,6500,290.0,52.0,1,2,False,2,male
true,white,approve,1,134,55,1,2,False,4616,149.0,18.9,2,6,False,2,male
true,white,approve,1,83,60,1,0,False,3879,128.0,10.0,2,2,False,2,male
false,white,approve,1,26,60,1,0,False,2600,29.0,7.0,2,2,False,1,female
true,white,approve,1,248,117,1,1,False,6812,280.0,74.0,2,5,False,2,male
true,white,approve,1,192,85,1,2,False,6250,240.0,163.7,1,5,False,2,male
false,black,approve,1,108,51,1,0,False,3926,120.0,28.1,2,1,False,2,male
false,white,approve,1,152,59,1,0,False,3268,165.0,25.0,2,6,False,2,male
true,white,reject,1,286,138,1,1,True,11500,357.0,164.0,1,2,False,1,female
true,white,approve,1,158,62,1,0,False,2783,175.0,47.0,1,1,False,2,male
false,white,approve,1,55,48,1,1,False,3226,250.0,270.0,2,1,False,2,male
true,white,approve,1,140,52,1,0,False,2708,176.0,37.0,2,2,False,2,male
true,white,approve,1,101,52,1,0,False,2740,126.5,28.1,1,3,False,2,male
false,white,approve,1,152,126,4,0,False,10500,199.0,51.0,1,6,False,3,male
true,white,approve,1,124,49,1,0,False,1987,134.9,13.28,2,2,False,2,male
true,white,approve,1,187,132,1,2,False,10166,250.0,91.0,2,6,False,2,male
true,white,approve,1,97,43,1,2,False,2708,135.0,49.0,2,1,False,2,male
true,white,approve,1,96,45,1,0,False,2132,120.0,35.0,2,1,False,2,male
false,white,approve,1,124,54,1,0,False,3366,1329.0,30.0,2,1,False,2,male
true,white,approve,1,135,70,1,0,False,3366,155.0,25.0,2,2,False,2,male
true,white,approve,1,180,120,2,1,False,8080,225.0,267.0,1,1,False,3,male
true,black,approve,1,144,75,2,2,False,3357,160.0,36.0,1,1,False,3,male
true,white,approve,1,287,110,1,3,False,9303,325.0,82.0,1,1,False,2,male
false,white,approve,1,164,110,1,0,True,9167,204.4,434.6,2,1,False,1,male
true,white,approve,1,145,48,1,0,False,3328,185.0,72.0,1,5,False,2,male
false,white,reject,1,176,38,3,0,False,3150,195.0,54.0,2,1,False,3,male
true,white,approve,1,450,155,1,2,False,12918,620.0,60.0,1,5,False,2,male
true,white,approve,1,120,178,1,0,False,2500,129.0,8.0,2,1,False,2,male
true,black,approve,1,99,37,1,3,False,3029,110.0,13.5,2,1,False,1,male
true,white,reject,1,165,64,1,0,True,2609,190.0,56.0,2,5,False,2,male
true,white,approve,2,185,137,2,2,False,7350,264.0,325.0,2,1,False,3,male
true,white,approve,1,130,51,1,2,False,4225,280.0,277.0,1,1,False,2,male
true,white,approve,1,90,61,1,0,True,2267,145.0,28.0,1,1,False,1,male
false,black,approve,1,116,71,1,0,True,5833,145.0,33.0,3,1,False,3,male
false,white,approve,1,105,36,1,0,False,3000,110.0,32.0,2,1,False,1,female
true,white,reject,1,147,59,1,1,False,4945,164.0,22.0,1,6,True,2,male
true,white,approve,1,95,48,1,2,False,3072,147.0,65.0,1,5,False,2,male
true,white,approve,1,116,44,1,4,False,3640,129.0,123.0,2,1,False,2,male
true,white,approve,1,152,70,1,2,False,5250,169.0,58.0,2,2,False,2,male
false,white,approve,1,135,64,1,0,False,3485,192.0,188.0,2,6,False,2,female
true,black,approve,1,304,142,1,1,False,7700,380.0,632.6,2,1,False,2,male
false,white,approve,1,138,67,1,0,False,3643,154.0,20.0,2,1,False,2,male
true,white,approve,1,100,78,1,0,False,5629,184.0,618.0,2,1,False,1,male
false,white,approve,1,110,41,1,0,False,3644,140.0,60.0,1,2,False,2,female
false,white,reject,1,116,50,1,0,False,4166,129.0,8650.0,2,3,True,1,female
true,white,approve,1,136,78,1,0,True,4333,170.0,46.0,2,2,False,2,male
false,hispan,approve,1,44,22,1,0,False,1833,55.0,18.0,2,1,False,1,female
true,white,reject,2,258,124,1,0,False,5726,287.0,65.0,2,2,False,2,male
true,white,approve,1,90,47,1,0,False,1750,129.9,1.0,2,1,True,1,male
false,white,approve,1,97,51,1,0,False,4167,121.0,33.0,2,1,False,1,male
false,white,reject,1,126,58,1,0,False,3200,140.0,29.0,2,5,False,2,male
true,white,approve,1,156,82,1,2,False,5667,216.0,61.4,1,1,False,2,male
false,white,reject,1,200,109,1,0,False,6500,295.0,64.0,2,3,False,2,male
false,white,approve,1,84,44,1,0,False,3666,105.0,30.0,2,5,False,1,female
true,white,approve,1,185,97,1,0,False,4260,250.0,65.6,1,3,False,2,male
true,white,approve,1,312,129,2,1,False,10750,390.0,120.0,1,1,False,3,male
true,white,approve,1,190,138,1,0,False,8500,180.0,1000000.0,2,1,False,2,male
false,white,approve,1,315,123,1,0,False,6833,420.0,75.0,1,1,False,2,male
true,white,approve,1,75,33,1,2,False,2731,150.0,81.0,2,1,False,2,male
true,white,approve,1,162,72,1,0,False,4163,247.0,75.2,1,6,False,2,male
true,white,approve,1,125,85,1,3,True,7100,343.0,239.0,1,2,False,2,male
true,white,approve,1,96,38,1,1,False,3145,120.0,36.74,2,4,False,1,male
false,hispan,approve,1,80,37,1,0,False,3068,130.0,60.0,1,1,False,1,male
false,white,reject,1,136,61,2,0,False,4300,181.0,101.0,2,2,False,3,female
false,white,approve,1,108,51,1,0,False,2356,120.0,18.0,2,2,False,2,male
true,white,approve,1,172,75,1,0,False,3208,230.0,20.2,2,1,False,2,male
false,white,approve,1,82,37,1,0,False,3117,103.0,35.21,2,1,False,1,female
true,white,approve,1,97,666,1,2,True,1875,137.0,72.0,2,2,False,2,male
false,white,approve,1,138,62,1,0,False,5177,153.0,22.0,2,1,False,2,male
true,white,approve,1,93,47,1,0,True,3941,170.0,2.0,3,6,False,2,male
false,white,approve,1,81,30,4,0,False,3500,90.0,8.0,2,2,False,3,male
true,white,approve,1,151,71,1,0,False,2517,168.0,22.0,1,2,False,2,male
true,black,reject,1,95,57,1,3,False,4755,155.0,82.0,2,2,True,2,male
true,white,approve,1,96,53,1,1,False,2188,156.0,6.0,1,1,False,2,male
true,white,approve,1,100,36,1,0,False,3000,234.0,98.0,1,4,False,2,female
true,hispan,approve,1,187,84,1,3,True,5266,259.0,91.0,1,1,False,2,male
true,white,approve,1,124,73,1,0,False,3685,155.0,35.0,2,1,False,2,female
false,white,approve,1,113,45,1,0,False,3750,125.0,19.0,1,1,False,2,male
false,white,reject,1,176,102,1,0,False,3750,208.0,40.0,1,1,False,1,male
false,white,approve,1,118,40,1,0,False,4120,128.0,6.0,2,3,False,1,female
true,white,approve,1,115,52,1,0,False,2860,130.0,30.0,2,1,False,2,male
true,white,reject,1,110,60,1,1,True,1000,50.0,26.0,2,1,False,2,male
true,white,approve,1,187,85,1,2,False,5008,285.0,116.0,2,1,False,2,male
false,white,approve,1,135,73,1,0,False,3517,220.0,227.0,2,1,False,1,male
false,white,approve,1,109,64,1,0,False,2916,157.0,76.0,2,1,False,2,male
true,white,reject,1,180,46,1,3,False,3167,70.0,5.0,3,3,True,1,male
true,black,approve,1,130,66,1,3,True,3333,162.0,80.0,2,1,False,2,male
false,white,approve,1,111,46,1,0,False,3846,139.0,18.76,2,2,False,2,female
true,white,approve,1,60,29,1,1,True,2395,160.0,122.0,2,2,False,2,male
true,black,reject,1,167,53,2,2,False,1378,175.0,13.0,2,4,False,3,female
false,white,approve,1,187,122,1,0,False,6792,260.0,100.0,1,1,False,2,male
true,white,approve,1,98,86,1,2,False,4041,140.0,47.0,2,5,False,2,male
true,white,approve,1,187,99,1,3,True,8000,260.0,16.0,1,1,False,2,male
false,white,approve,1,136,75,1,0,False,4160,170.0,62.0,2,5,False,2,male
true,white,approve,1,182,85,1,1,False,4153,315.0,26.0,1,1,False,2,male
true,black,reject,1,265,99,1,0,False,6000,295.0,29.0,2,5,True,2,male
true,white,approve,1,264,107,1,0,False,5834,293.0,34.0,2,1,False,2,male
true,white,approve,1,50,48,1,1,False,3988,150.0,0.0,2,2,False,2,male
false,hispan,approve,1,87,38,2,0,False,3248,97.0,22.1,1,1,False,3,male
true,black,approve,1,90,62,2,0,False,3320,90.0,1.8,1,5,False,3,male
true,white,approve,1,176,76,1,0,False,3667,191.0,26.0,2,1,False,2,male
false,hispan,approve,1,136,59,1,0,False,2366,170.0,35.0,2,4,False,2,male
true,white,approve,1,99,76,1,2,False,3333,179.0,12.0,1,1,False,2,male
true,white,approve,1,70,72,1,4,False,2489,160.0,19.0,1,5,False,2,female
true,white,approve,1,104,55,1,0,False,2500,115.0,26.0,2,6,False,2,male
false,white,approve,1,129,73,1,0,False,6400,143.0,17.4,2,2,False,1,male
true,white,approve,1,124,50,1,1,False,2419,155.0,32.0,2,1,False,2,male
true,white,approve,1,55,36,1,0,False,3440,95.0,5.0,2,4,False,1,male
false,white,approve,1,135,31,1,0,False,2680,175.0,45.0,2,1,False,2,male
true,white,approve,1,120,48,1,3,False,3500,149.9,43.0,2,1,False,2,
true,white,approve,1,275,96,1,0,False,7933,380.0,144.0,1,1,False,2,male
false,white,approve,1,210,103,1,0,False,8566,339.0,206.0,1,1,False,2,male
false,white,approve,1,71,34,1,0,False,2800,95.0,28.0,2,2,False,2,female
true,white,approve,1,160,45,1,1,False,3500,210.0,106.0,1,1,False,2,male
true,white,approve,1,116,51,1,3,False,2230,145.0,46.0,2,1,False,2,male
true,white,approve,1,80,48,1,0,True,2200,100.0,127.0,1,5,False,2,male
true,white,approve,1,130,51,1,6,False,3667,144.0,10.1,2,2,False,2,male
true,white,approve,1,125,60,1,3,False,3565,84.0,1000000.0,2,1,False,2,male
true,hispan,approve,1,96,54,1,2,False,1894,104.0,11.0,2,1,False,2,male
true,black,approve,1,146,66,1,3,False,3333,195.0,258.0,1,2,False,2,male
true,white,approve,1,30,61,1,2,False,4116,342.0,157.2,1,1,False,2,male
true,white,approve,1,140,113,1,2,False,7262,287.5,52.23,1,1,False,2,male
true,white,approve,1,115,51,1,4,False,4230,200.0,2.0,4,6,True,2,male
true,white,approve,1,25,48,1,0,False,4030,25.0,6.5,1,1,False,2,male
true,white,approve,1,125,88,1,0,True,5885,300.0,100.0,1,1,False,1,male
false,white,approve,1,145,85,1,0,False,7093,182.0,50.0,1,1,False,1,male
false,white,approve,1,176,71,1,0,False,5941,235.0,92.0,2,1,False,1,male
true,white,approve,1,89,55,1,2,False,4582,99.0,7.0,2,1,False,2,male
true,white,approve,1,125,55,1,1,False,4552,145.0,36.0,2,1,False,2,male
true,white,approve,1,141,69,1,0,False,2625,177.0,40.0,2,6,False,2,male
false,white,approve,1,80,47,1,0,False,3900,102.0,63.0,4,1,False,1,male
true,white,approve,1,90,40,1,1,False,3333,178.0,8.0,1,1,False,2,male
true,white,approve,1,175,118,1,0,False,5695,250.0,95.0,1,1,False,2,male
false,white,approve,1,132,71,1,0,False,4503,165.0,31.0,2,1,False,2,male
true,white,approve,1,92,64,1,0,True,5293,115.0,430.0,2,1,False,1,male
false,white,approve,1,130,33,1,0,False,2750,184.0,22.0,2,4,False,1,male
false,white,approve,1,94,53,1,0,False,4400,102.0,21.0,2,4,False,1,male
true,white,approve,1,155,82,1,1,False,4845,254.0,138.0,1,2,False,2,male
true,black,approve,1,131,64,1,0,False,2958,139.0,4.0,2,2,False,1,male
false,hispan,reject,1,130,53,1,0,False,4402,137.0,12.5,1,3,False,2,female
true,white,approve,1,188,143,1,2,False,6250,528.0,766.0,1,1,False,2,male
true,white,approve,1,81,61,1,2,False,3273,90.0,15.0,2,1,False,2,male
true,white,approve,1,200,159,1,0,False,25750,367.0,612.0,1,1,False,2,female
true,white,approve,1,134,85,1,2,False,3613,149.0,35.0,2,1,False,2,male
false,white,approve,1,122,50,1,0,False,4133,162.0,53.0,2,1,False,2,male
true,hispan,approve,1,176,85,1,2,False,2779,191.0,26.0,2,6,False,2,female
true,white,approve,1,90,51,1,3,False,4720,174.0,13.0,2,1,False,2,male
false,white,approve,1,25,45,2,0,False,3620,25.0,1.2,1,1,False,3,male
false,white,reject,1,203,81,3,0,True,6782,225.0,31.5,2,1,False,3,male
true,white,approve,1,137,43,1,0,False,2484,152.0,29.0,2,1,False,2,female
true,black,approve,1,120,60,1,1,True,3006,150.0,17.0,2,3,False,2,male
true,hispan,approve,1,124,48,1,2,True,1573,162.0,42.0,2,1,False,2,male
true,white,approve,1,144,141,1,0,False,2773,160.0,33.0,2,6,False,2,male
true,white,approve,1,135,110,1,0,False,4642,240.0,77.0,1,1,False,2,male
true,white,approve,1,110,26,1,0,False,2415,122.0,25.0,2,1,False,1,male
true,white,approve,1,50,36,1,0,False,1977,230.0,31.0,1,1,False,2,male
true,white,approve,2,115,50,2,0,False,4188,215.0,140.0,2,1,False,3,male
true,white,approve,1,125,88,1,0,True,7016,165.0,200.0,1,1,False,2,male
false,white,approve,2,240,72,1,0,False,8567,300.0,188.0,1,1,False,1,male
true,black,approve,1,210,36,3,3,False,1706,235.0,23.0,2,5,False,3,male
false,black,approve,1,189,60,2,2,False,4968,289.0,109.0,2,1,False,3,female
false,hispan,approve,1,176,180,1,0,True,14986,196.0,4.5,2,2,True,2,female
false,white,approve,1,200,54,2,0,False,2065,250.0,45.0,2,1,False,3,female
true,black,approve,1,172,81,1,0,False,4153,192.0,12.0,2,2,False,2,male
true,white,approve,1,125,45,1,0,False,2940,125.0,11.4,1,1,False,2,male
true,white,approve,1,131,64,1,0,False,1759,164.0,38.0,2,1,False,1,male
false,black,approve,1,102,36,1,2,False,3400,115.0,14.0,2,5,False,1,female
true,white,approve,1,133,89,1,2,False,4288,148.0,25.0,2,1,False,2,male
